DC 		42.85	-		100		-	
42.85	9.00	0.11	3.13	0.04
19.35	20.57	0.23	8.17	0.09
10.98	37.56	0.44	15.65	0.17
9.02	46.99	0.56	19.43	0.21
7.65	53.98	0.59	23.74	0.26
6.22	71.86	0.90	29.39	0.33
5.86	75.65	0.86	31.76	0.35


