- 		5.86	-		10.98	-		19.35	-		42.85	-
0.1		1		0.98	0.53	0.51	0.29	0.28	0.13	0.12
0.2		1		0.98	0.54	0.53	0.31	0.30	0.14	0.13
0.3		1		0.98	0.57	0.56	0.32	0.31	0.14	0.14
0.4		1		0.98	0.60	0.59	0.34	0.33	0.15	0.15
0.5		1		0.98	0.64	0.63	0.36	0.35	0.16	0.16
0.6		1		0.98	0.69	0.68	0.38	0.37	0.18	0.17
0.7		1		0.98	0.73	0.72	0.41	0.40	0.19	0.18
0.8		1		0.98	0.82	0.8		0.45	0.44	0.22	0.21
0.9		1		0.98	0.88	0.86	0.48	0.47	0.24	0.23
1		1		0.98	0.98	0.96	0.53	0.51	0.27	0.27



