-		10,98	5,86
42,85	684,74	1788,56
30,76	711,17	1540,15
23,8	787,78	1455,13
19,35	814,83	1542,20
14,03	865,93	1556,21
12,23	766,21	1519,46
10,98	489,49	1623,94
9,02	-		1543,05
7,65	-		1624,63
6,22	-		1560,85
5,86	-		893,94
